,Unnamed: 0,ACCESS,ACR,나이,BATH,침실 수,BLD,COW,월 전기료,FESRP,FKITP,FPARC,FSCHP,FTAXP,월 가스비,HHL,HHT,가계 소득,LANX,결혼 상태,MV,자녀 수,R18,R65,RAC1P,방 수,RWAT,SCH,SCHL,SEX,주택 가격비교
11717,12221,1.0,1.0,35,1.0,3.0,2.0,1,80.0,0,0.0,1,0,0.0,30.0,1.0,1.0,129000.0,2,1,3.0,1.0,1.0,0.0,1,6.0,1.0,1,16,1,1.0
11718,12222,1.0,1.0,20,1.0,3.0,2.0,1,80.0,0,0.0,1,0,0.0,30.0,1.0,1.0,129000.0,2,5,3.0,1.0,1.0,0.0,1,6.0,1.0,1,16,1,1.0
11719,12223,1.0,1.0,2,1.0,3.0,2.0,0,80.0,0,0.0,1,0,0.0,30.0,1.0,1.0,129000.0,0,5,3.0,1.0,1.0,0.0,1,6.0,1.0,0,0,1,1.0
11720,12224,1.0,1.0,44,1.0,3.0,2.0,1,320.0,1,0.0,2,0,1.0,160.0,1.0,1.0,54000.0,2,1,1.0,3.0,1.0,0.0,1,7.0,1.0,1,18,2,0.0
11721,12225,1.0,1.0,39,1.0,3.0,2.0,1,320.0,1,0.0,2,0,1.0,160.0,1.0,1.0,54000.0,2,1,1.0,3.0,1.0,0.0,1,7.0,1.0,1,16,1,0.0
11722,12226,1.0,1.0,26,1.0,3.0,2.0,1,320.0,1,0.0,2,1,1.0,160.0,1.0,1.0,54000.0,2,5,1.0,3.0,1.0,0.0,1,7.0,1.0,1,15,1,0.0
11723,12227,1.0,1.0,20,1.0,3.0,2.0,0,320.0,1,0.0,2,0,1.0,160.0,1.0,1.0,54000.0,2,5,1.0,3.0,1.0,0.0,1,7.0,1.0,2,18,2,0.0
11724,12228,1.0,1.0,5,1.0,3.0,2.0,0,320.0,0,0.0,2,1,1.0,160.0,1.0,1.0,54000.0,2,5,1.0,3.0,1.0,0.0,1,7.0,1.0,2,3,1,0.0
11725,12229,1.0,1.0,16,1.0,3.0,2.0,0,320.0,1,0.0,2,0,1.0,160.0,1.0,1.0,54000.0,2,5,1.0,3.0,1.0,0.0,1,7.0,1.0,2,13,1,0.0
11726,12230,1.0,1.0,14,1.0,3.0,2.0,0,320.0,0,0.0,2,0,1.0,160.0,1.0,1.0,54000.0,2,5,1.0,3.0,1.0,0.0,1,7.0,1.0,2,10,2,0.0
11727,12231,1.0,1.0,55,1.0,3.0,2.0,4,200.0,0,0.0,4,0,1.0,3.0,1.0,3.0,89500.0,2,3,7.0,0.0,0.0,0.0,1,6.0,1.0,1,21,2,1.0
11728,12232,1.0,1.0,23,1.0,3.0,2.0,1,200.0,0,0.0,4,0,1.0,3.0,1.0,3.0,89500.0,2,5,7.0,0.0,0.0,0.0,3,6.0,1.0,1,19,2,1.0
11729,12233,1.0,1.0,24,1.0,3.0,2.0,1,200.0,0,0.0,4,0,1.0,3.0,1.0,3.0,89500.0,2,5,7.0,0.0,0.0,0.0,1,6.0,1.0,1,16,2,1.0
11730,12234,1.0,2.0,41,1.0,3.0,2.0,1,150.0,0,0.0,2,0,0.0,150.0,1.0,1.0,135600.0,2,1,3.0,1.0,1.0,0.0,1,6.0,1.0,2,21,1,1.0
11731,12235,1.0,2.0,40,1.0,3.0,2.0,0,150.0,0,0.0,2,0,0.0,150.0,1.0,1.0,135600.0,2,1,3.0,1.0,1.0,0.0,1,6.0,1.0,1,21,2,1.0
11732,12236,1.0,2.0,14,1.0,3.0,2.0,0,150.0,0,0.0,2,0,0.0,150.0,1.0,1.0,135600.0,2,5,3.0,1.0,1.0,0.0,1,6.0,1.0,2,10,1,1.0
11733,12237,1.0,1.0,83,1.0,3.0,2.0,0,70.0,0,0.0,0,0,0.0,40.0,1.0,6.0,44000.0,2,2,7.0,0.0,0.0,1.0,1,10.0,1.0,1,16,2,0.0
